Bag ID,Depth,Section,Sample ID,Replicate,Time Retrieved,Date retrieved,% Remaining,Week
0,0,0,1,0,0,4/26/2022,100,0
1,0,S8,1,1,1,5/10/2022,100,1
2,0,S10,1,2,2,5/17/2022,0,2
3,0,S1,1,3,3,5/23/2022,0,3
4,0,S6,1,4,4,5/31/2022,0,4
5,0,S5,1,5,5,6/7/2022,0,5
6,0,S7,1,6,6,6/15/2022,0,6
7,0,S9,1,7,7,6/22/2022,0,7
8,0,S2,1,8,8,6/28/2022,0,8
9,0,S1,1,9,9,7/12/2022,0,10
10,0,S2,1,10,10,7/26/2022,0,12
11,0,S3,1,11,11,8/9/2022,0,14
12,0,S10,1,12,12,8/23/2022,0,16
13,0,S5,1,13,13,9/6/2022,0,18
14,0,S5,1,14,14,9/27/2022,0,21
15,0,S7,1,15,15,10/4/2022,0,22
16,0,S3,1,16,16,10/18/2022,0,24
17,0,S10,1,17,17,11/1/2022,0,26
18,0,S3,1,18,18,11/16/2022,0,28
19,0,S10,1,19,19,11/29/2022,0,30
20,0,S7,1,20,20,12/13/2022,0,32
21,0,S5,1,21,21,12/19/2022,0,33
22,0,S7,1,22,NA,NA,NA,
23,0,S2,1,23,NA,NA,NA,
24,0,S7,1,24,NA,NA,NA,
0,0,0,2,0,0,4/26/2022,100,0
1,0,S3,2,1,1,5/10/2022,100,1
2,0,S1,2,2,2,5/17/2022,100,2
3,0,S6,2,3,3,5/23/2022,100,3
4,0,S10,2,4,4,5/31/2022,100,4
5,0,S2,2,5,5,6/7/2022,100,5
6,0,S8,2,6,6,6/15/2022,100,6
7,0,S8,2,7,7,6/22/2022,100,7
8,0,S5,2,8,8,6/28/2022,100,8
9,0,S9,2,9,9,7/12/2022,100,10
10,0,S3,2,10,10,7/26/2022,100,12
11,0,S10,2,11,11,8/9/2022,100,14
12,0,S6,2,12,12,8/23/2022,100,16
13,0,S4,2,13,13,9/6/2022,100,18
14,0,S2,2,14,14,9/27/2022,100,21
15,0,S5,2,15,15,10/4/2022,100,22
16,0,S9,2,16,16,10/18/2022,100,24
17,0,S3,2,17,17,11/1/2022,100,26
18,0,S9,2,18,18,11/16/2022,100,28
19,0,S1,2,19,19,11/29/2022,100,30
20,0,S10,2,20,20,12/13/2022,20,32
21,0,S1,2,21,21,12/19/2022,100,33
22,0,S9,2,22,NA,NA,NA,
23,0,S9,2,23,NA,NA,NA,
24,0,S9,2,24,NA,NA,NA,
0,0,0,3,0,0,4/26/2022,100,0
1,0,S10,3,1,1,5/10/2022,100,1
2,0,S7,3,2,2,5/17/2022,0,2
3,0,S5,3,3,3,5/23/2022,0,3
4,0,S8,3,4,4,5/31/2022,0,4
5,0,S9,3,5,5,6/7/2022,0,5
6,0,S4,3,6,6,6/15/2022,0,6
7,0,S5,3,7,7,6/22/2022,0,7
8,0,S7,3,8,8,6/28/2022,0,8
9,0,S10,3,9,9,7/12/2022,0,10
10,0,S5,3,10,10,7/26/2022,0,12
11,0,S5,3,11,11,8/9/2022,0,14
12,0,S8,3,12,12,8/23/2022,0,16
13,0,S1,3,13,13,9/6/2022,0,18
14,0,S7,3,14,14,9/27/2022,0,21
15,0,S10,3,15,15,10/4/2022,0,22
16,0,S7,3,16,16,10/18/2022,0,24
17,0,S1,3,17,17,11/1/2022,0,26
18,0,S2,3,18,18,11/16/2022,0,28
19,0,S7,3,19,19,11/29/2022,0,30
20,0,S2,3,20,20,12/13/2022,0,32
21,0,S2,3,21,21,12/19/2022,0,33
22,0,S8,3,22,NA,NA,NA,
23,0,S10,3,23,NA,NA,NA,
24,0,S8,3,24,NA,NA,NA,
0,0,0,4,0,0,4/26/2022,100,0
1,0,S1,4,1,1,5/10/2022,100,1
2,0,S5,4,2,2,5/17/2022,100,2
3,0,S7,4,3,3,5/23/2022,100,3
4,0,S5,4,4,4,5/31/2022,0,4
5,0,S7,4,5,5,6/7/2022,0,5
6,0,S6,4,6,6,6/15/2022,0,6
7,0,S6,4,7,7,6/22/2022,0,7
8,0,S10,4,8,8,6/28/2022,0,8
9,0,S3,4,9,9,7/12/2022,0,10
10,0,S7,4,10,10,7/26/2022,0,12
11,0,S4,4,11,11,8/9/2022,0,14
12,0,S5,4,12,12,8/23/2022,0,16
13,0,S2,4,13,13,9/6/2022,0,18
14,0,S3,4,14,14,9/27/2022,0,21
15,0,S4,4,15,15,10/4/2022,0,22
16,0,S6,4,16,16,10/18/2022,0,24
17,0,S9,4,17,17,11/1/2022,0,26
