Depth,Sample ID,Time Retrieved,BPA 
NA,1,0,53.9
NA,2,0,41
NA,3,0,29.97
NA,4,0,22.03
NA,5,0,<min
NA,6,0,185.79
NA,7,0,45.06
NA,8,0,<min
NA,DIW,0,1.95
NA,DIW and Pepsin,0,8
NA,Fresh DIW,0,3.99
NA,Tap,0,2.01
NA,PS-in,0,<min
NA,PS-out,0,<min
NA,A,0,26.33
NA,B,0,1.92
NA,C,0,<min
NA,D,0,14
NA,P,0,88.8
NA,N,0,56.5
NA,PNEC,0,1500
0,2,4,104.8
0,7,4,6
0,A,4,8.9
0,B,4,25.6
0,C,4,37
0,D,4,73.5
0,N,4,33
0,Solution,4,128.999
0,PNEC,4,1500
10,2,4,126.999
10,7,4,47.8
10,A,4,15.5
10,B,4,32.4
10,C,4,17
10,D,4,59.599
10,N,4,69.399
10,PNEC,4,1500
0,2,8,3.2
0,A,8,6.6
0,B,8,77.299
0,C,8,25.6
0,D,8,39.5
0,N,8,16.5
0,PNEC,8,1500
10,2,8,39.2
10,A,8,14.7
10,B,8,4.5
10,C,8,122.999
10,D,8,53.999
10,N,8,105.999
10,Solution,8,31
10,PNEC,8,1500
