Depth,Sample ID,Time Retrieved,Frequency,Pre,Post,Change (Pre-Post),Perc.Change
NA,A,0,1k,20.97,21.07,-0.1,0.476871722
NA,A,0,10k,1.56,1.15,0.41,-26.28205128
NA,A,0,100k,0.15,0.11,0.04,-26.66666667
NA,B,0,1k,10.6,15.1,-4.5,42.45283019
NA,B,0,10k,0.83,0.81,0.02,-2.409638554
NA,B,0,100k,0.08,0.09,-0.01,12.5
NA,C,0,1k,20.7,35.2,-14.5,70.04830918
NA,C,0,10k,1.65,1.84,-0.19,11.51515152
NA,C,0,100k,0.14,0.17,-0.03,21.42857143
NA,D,0,1k,20,32.5,-12.5,62.5
NA,D,0,10k,1.78,1.79,-0.01,0.561797753
NA,D,0,100k,0.16,0.16,0,0
NA,N,0,1k,29.8,29,0.8,-2.684563758
NA,N,0,10k,1.84,1.793333333,0.046666667,-2.536231884
NA,N,0,100k,0.188,0.164666667,0.023333333,-12.41134752
NA,P,0,1k,19.7,NA,NA,NA
NA,P,0,10k,1.35,NA,NA,NA
NA,P,0,100k,0.12,NA,NA,NA
0,A,4,1k,32.4,38.3,-5.9,18.20987654
0,A,4,10k,1.69,2.97,-1.28,75.73964497
0,A,4,100k,0.172,0.29,-0.118,68.60465116
0,B,4,1k,58.8,45.2,13.6,-23.1292517
0,B,4,10k,2.86,2.72,0.14,-4.895104895
0,B,4,100k,0.235,0.231,0.004,-1.70212766
0,C,4,1k,30.7,32.1,-1.4,4.560260586
0,C,4,10k,1.33,1.42,-0.09,6.766917293
0,C,4,100k,0.122,0.152,-0.03,24.59016393
0,D,4,1k,47.3,33.7,13.6,-28.75264271
0,D,4,10k,2.4,1.97,0.43,-17.91666667
0,D,4,100k,0.222,0.177,0.045,-20.27027027
0,N,4,1k,51.05,50.85,0.2,-0.391772772
0,N,4,10k,2.45,2.39,0.06,-2.448979592
0,N,4,100k,0.244,0.2445,-0.0005,0.204918033
0,P,4,1k,NA,NA,NA,NA
0,P,4,10k,NA,NA,NA,NA
0,P,4,100k,NA,NA,NA,NA
10,A,4,1k,23.6,27.1,-3.5,14.83050847
10,A,4,10k,1.28,2.22,-0.94,73.4375
10,A,4,100k,0.125,0.331,-0.206,164.8
10,B,4,1k,34.4,40.3,-5.9,17.15116279
10,B,4,10k,1.8,2.45,-0.65,36.11111111
10,B,4,100k,0.156,0.261,-0.105,67.30769231
10,C,4,1k,22,19.7,2.3,-10.45454545
10,C,4,10k,1.1,1.4,-0.3,27.27272727
10,C,4,100k,0.1,0.15,-0.05,50
10,D,4,1k,31.4,30.6,0.8,-2.547770701
10,D,4,10k,1.89,2.14,-0.25,13.22751323
10,D,4,100k,0.16,0.53,-0.37,231.25
10,N,4,1k,28.73333333,22.2,6.53333333,-22.73781902
10,N,4,10k,1.37,1.316666667,0.053333333,-3.892944015
10,N,4,100k,0.135333333,0.132333333,0.003,-2.216748774
10,P,4,1k,NA,NA,NA,NA
10,P,4,10k,NA,NA,NA,NA
10,P,4,100k,NA,NA,NA,NA
0,A,8,1k,24.5,20,4.5,-18.36734694
0,A,8,10k,1.41,1.02,0.39,-27.65957447
0,A,8,100k,0.14,0.11,0.03,-21.42857143
0,B,8,1k,24.7,17.27,7.43,-30.08097166
0,B,8,10k,1.14,1.03,0.11,-9.649122807
0,B,8,100k,0.118,0.109,0.009,-7.627118644
0,C,8,1k,21.3,14.6,6.7,-31.45539906
0,C,8,10k,0.88,0.72,0.16,-18.18181818
0,C,8,100k,0.1,0.077,0.023,-23
0,D,8,1k,27.5,17.2,10.3,-37.45454545
0,D,8,10k,1.37,0.98,0.39,-28.46715328
0,D,8,100k,0.14,0.096,0.044,-31.42857143
0,N,8,1k,25.86666667,17.4,8.46666667,-32.73195877
0,N,8,10k,1.34,0.81,0.53,-39.55223881
0,N,8,100k,0.137,0.115,0.022,-16.05839416
0,P,8,1k,NA,NA,NA,NA
0,P,8,10k,NA,NA,NA,NA
0,P,8,100k,NA,NA,NA,NA
10,A,8,1k,17.2,15.8,1.4,-8.139534884
10,A,8,10k,0.973,0.99,-0.017,1.74717369
10,A,8,100k,0.109,0.109,0,0
10,B,8,1k,18.65,16.5,2.15,-11.52815013
10,B,8,10k,1.06,0.97,0.09,-8.490566038
10,B,8,100k,0.1115,0.0965,0.015,-13.4529148
10,C,8,1k,13.3,14.1,-0.8,6.015037594
10,C,8,10k,0.75,0.79,-0.04,5.333333333
10,C,8,100k,0.08,0.086,-0.006,7.5
10,D,8,1k,18.7,16.8,1.9,-10.16042781
10,D,8,10k,1.02,0.87,0.15,-14.70588235
10,D,8,100k,0.11,0.092,0.018,-16.36363636
10,N,8,1k,20.43333333,13.33333333,7.1,-34.74714519
10,N,8,10k,1.046666667,0.826666667,0.22,-21.01910827
10,N,8,100k,0.117666667,0.084,0.033666667,-28.61189822
10,P,8,1k,NA,NA,NA,NA
10,P,8,10k,NA,NA,NA,NA
10,P,8,100k,NA,NA,NA,NA
