Depth,Sample ID,Time Retrieved,Frequency,Resistance,Pre Post
NA,A,0,1k,20.97,Pre
NA,A,0,10k,1.56,Pre
NA,A,0,100k,0.15,Pre
NA,B,0,1k,10.6,Pre
NA,B,0,10k,0.83,Pre
NA,B,0,100k,0.08,Pre
NA,C,0,1k,20.7,Pre
NA,C,0,10k,1.65,Pre
NA,C,0,100k,0.14,Pre
NA,D,0,1k,20,Pre
NA,D,0,10k,1.78,Pre
NA,D,0,100k,0.16,Pre
NA,N,0,1k,29.8,Pre
NA,N,0,10k,1.84,Pre
NA,N,0,100k,0.188,Pre
NA,P,0,1k,19.7,Pre
NA,P,0,10k,1.35,Pre
NA,P,0,100k,0.12,Pre
0,A,4,1k,32.4,Pre
0,A,4,10k,1.69,Pre
0,A,4,100k,0.172,Pre
0,B,4,1k,58.8,Pre
0,B,4,10k,2.86,Pre
0,B,4,100k,0.235,Pre
0,C,4,1k,30.7,Pre
0,C,4,10k,1.33,Pre
0,C,4,100k,0.122,Pre
0,D,4,1k,47.3,Pre
0,D,4,10k,2.4,Pre
0,D,4,100k,0.222,Pre
0,N,4,1k,51.05,Pre
0,N,4,10k,2.45,Pre
0,N,4,100k,0.244,Pre
10,A,4,1k,23.6,Pre
10,A,4,10k,1.28,Pre
10,A,4,100k,0.125,Pre
10,B,4,1k,34.4,Pre
10,B,4,10k,1.8,Pre
10,B,4,100k,0.156,Pre
10,C,4,1k,22,Pre
10,C,4,10k,1.1,Pre
10,C,4,100k,0.1,Pre
10,D,4,1k,31.4,Pre
10,D,4,10k,1.89,Pre
10,D,4,100k,0.16,Pre
10,N,4,1k,28.73333333,Pre
10,N,4,10k,1.37,Pre
10,N,4,100k,0.135333333,Pre
0,A,8,1k,24.5,Pre
0,A,8,10k,1.41,Pre
0,A,8,100k,0.14,Pre
0,B,8,1k,24.7,Pre
0,B,8,10k,1.14,Pre
0,B,8,100k,0.118,Pre
0,C,8,1k,21.3,Pre
0,C,8,10k,0.88,Pre
0,C,8,100k,0.1,Pre
0,D,8,1k,27.5,Pre
0,D,8,10k,1.37,Pre
0,D,8,100k,0.14,Pre
0,N,8,1k,25.86666667,Pre
0,N,8,10k,1.34,Pre
0,N,8,100k,0.137,Pre
10,A,8,1k,17.2,Pre
10,A,8,10k,0.973,Pre
10,A,8,100k,0.109,Pre
10,B,8,1k,18.65,Pre
10,B,8,10k,1.06,Pre
10,B,8,100k,0.1115,Pre
10,C,8,1k,13.3,Pre
10,C,8,10k,0.75,Pre
10,C,8,100k,0.08,Pre
10,D,8,1k,18.7,Pre
10,D,8,10k,1.02,Pre
10,D,8,100k,0.11,Pre
10,N,8,1k,20.43333333,Pre
10,N,8,10k,1.046666667,Pre
10,N,8,100k,0.117666667,Pre
NA,A,0,1k,21.07,Post
NA,A,0,10k,1.15,Post
NA,A,0,100k,0.11,Post
NA,B,0,1k,15.1,Post
NA,B,0,10k,0.81,Post
NA,B,0,100k,0.09,Post
NA,C,0,1k,35.2,Post
NA,C,0,10k,1.84,Post
NA,C,0,100k,0.17,Post
NA,D,0,1k,32.5,Post
NA,D,0,10k,1.79,Post
NA,D,0,100k,0.16,Post
NA,N,0,1k,29,Post
NA,N,0,10k,1.793333333,Post
NA,N,0,100k,0.164666667,Post
0,A,4,1k,38.3,Post
0,A,4,10k,2.97,Post
0,A,4,100k,0.29,Post
0,B,4,1k,45.2,Post
0,B,4,10k,2.72,Post
0,B,4,100k,0.231,Post
0,C,4,1k,32.1,Post
0,C,4,10k,1.42,Post
0,C,4,100k,0.152,Post
0,D,4,1k,33.7,Post
0,D,4,10k,1.97,Post
0,D,4,100k,0.177,Post
0,N,4,1k,50.85,Post
0,N,4,10k,2.39,Post
0,N,4,100k,0.2445,Post
10,A,4,1k,27.1,Post
10,A,4,10k,2.22,Post
10,A,4,100k,0.331,Post
10,B,4,1k,40.3,Post
10,B,4,10k,2.45,Post
10,B,4,100k,0.261,Post
10,C,4,1k,19.7,Post
10,C,4,10k,1.4,Post
10,C,4,100k,0.15,Post
10,D,4,1k,30.6,Post
10,D,4,10k,2.14,Post
10,D,4,100k,0.53,Post
10,N,4,1k,22.2,Post
10,N,4,10k,1.316666667,Post
10,N,4,100k,0.132333333,Post
10,P,4,1k,NA,Post
10,P,4,10k,NA,Post
10,P,4,100k,NA,Post
0,A,8,1k,20,Post
0,A,8,10k,1.02,Post
0,A,8,100k,0.11,Post
0,B,8,1k,17.27,Post
0,B,8,10k,1.03,Post
0,B,8,100k,0.109,Post
0,C,8,1k,14.6,Post
0,C,8,10k,0.72,Post
0,C,8,100k,0.077,Post
0,D,8,1k,17.2,Post
0,D,8,10k,0.98,Post
0,D,8,100k,0.096,Post
0,N,8,1k,17.4,Post
0,N,8,10k,0.81,Post
0,N,8,100k,0.115,Post
10,A,8,1k,15.8,Post
10,A,8,10k,0.99,Post
10,A,8,100k,0.109,Post
10,B,8,1k,16.5,Post
10,B,8,10k,0.97,Post
10,B,8,100k,0.0965,Post
10,C,8,1k,14.1,Post
10,C,8,10k,0.79,Post
10,C,8,100k,0.086,Post
10,D,8,1k,16.8,Post
10,D,8,10k,0.87,Post
10,D,8,100k,0.092,Post
10,N,8,1k,13.33333333,Post
10,N,8,10k,0.826666667,Post
10,N,8,100k,0.084,Post
