Depth,Sample ID,Time Retrieved,Pre Weight (g),Post Weight (g),Pre-Post,Average,For Plot,Percent loss
NA,1,0,0.44,0,0.44,,,
NA,1,0,0.486,0,0.486,,,
NA,1,0,0.406,0,0.406,0.444,0,100
NA,2,0,1.897,0.601,1.296,,,
NA,2,0,1.503,0,1.503,,,
NA,2,0,1.276,0,1.276,1.358333333,1.358333333,87.1471343
NA,3,0,1.088,0.767,0.321,,,
NA,3,0,1.288,0.926,0.362,,,
NA,3,0,1.761,1.248,0.513,0.398666667,0.398666667,28.90983805
NA,4,0,0.621,0,0.621,,,
NA,4,0,0.284,0,0.284,,,
NA,4,0,0.305,0,0.305,0.403333333,0,100
NA,5,0,1.216,1.21,0.006,,,
NA,5,0,1.135,1.137,-0.002,,,
NA,5,0,1.134,1.131,0.003,0.002333333,0.002333333,0.200860832
NA,6,0,0.471,0,0.471,,,
NA,6,0,0.414,0,0.414,,,
NA,6,0,0.429,0,0.429,0.438,0,100
NA,7,0,0.61,0.457,0.153,,,
NA,7,0,0.565,0.411,0.154,,,
NA,7,0,0.496,0,0.496,0.267666667,0.267666667,48.05505685
NA,8,0,0.939,0,0.939,,,
NA,8,0,1.051,0,1.051,,,
NA,8,0,0.96,0,0.96,0.983333333,0,100
NA,A,0,0.587,0.583,0.004,,,
NA,A,0,0.788,0.794,-0.006,,,
NA,A,0,0.794,0.797,-0.003,-0.001666667,-0.001666667,-0.230520977
NA,B,0,0.421,0.422,-0.001,,,
NA,B,0,0.423,0.418,0.005,,,
NA,B,0,0.423,0.423,0,0.001333333,0.001333333,0.315706393
NA,C,0,0.113,0.113,0,,,
NA,C,0,0.118,0.118,0,,,
NA,C,0,0.118,0.117,0.001,0.000333333,0.000333333,0.286532951
NA,D,0,0.492,0.492,0,,,
NA,D,0,0.518,0.52,-0.002,,,
NA,D,0,0.484,0.486,-0.002,-0.001333333,-0.001333333,-0.267737617
NA,N,0,0.76,0.76,0,,,
NA,N,0,0.716,0.714,0.002,,,
NA,N,0,0.787,0.785,0.002,0.001333333,0.001333333,0.176756518
NA,P,0,0.477,0,0.477,,,
NA,P,0,0.473,0,0.473,,,
NA,P,0,0.491,0,0.491,0.480333333,0,100
0,1,4,NA,NA,NA,,,
0,1,4,NA,NA,NA,,,
0,1,4,NA,NA,NA,NA,0,NA
0,2,4,0.679,0.674,0.005,,,
0,2,4,0.581,0.568,0.013,,,
0,2,4,0.66,0.663,-0.003,0.005,0.005,0.78125
0,3,4,NA,NA,NA,,,
0,3,4,NA,NA,NA,NA,0,NA
0,4,4,NA,NA,NA,,,
0,4,4,NA,NA,NA,,,
0,4,4,NA,NA,NA,NA,0,NA
0,5,4,NA,NA,NA,,,
0,5,4,NA,NA,NA,,,
0,5,4,NA,NA,NA,NA,0,NA
0,6,4,NA,NA,NA,,,
0,6,4,NA,NA,NA,,,
0,6,4,NA,NA,NA,NA,0,NA
0,7,4,NA,NA,NA,,,
0,7,4,0.832,0,0.832,,,
