Time,Pre or Post,Depth,PIP #,Sample,Label,Notes,samples to run,date run,Thickness,Maximum Force,Modulus of  Elasticity (Young's),Yield Stress,Yield Elongation,Tensile stress at Break (Standard),Break  Elongation,Tensile stress at Maximum Force,Tensile strain (Displacement) at Maximum Force,Energy at Yield (Offset       0.2 %),Energy at Break (Standard),break location,break.location.plot
0,Pre,NA,1,18-Jan,B,slight cuts already,,20230103,0.06,6.3,1683.85,2.27,0.84,2.72,0.8,5.25,0.83,0.553,0,mid,mid
0,Pre,NA,1,19-Jan,A,,1,20230103,0.06,5.35,2467.93,0.41,,3.32,,4.46,4.26,0.296,0,mid,mid
0,Pre,NA,1,20-Jan,A,,1,20230103,0.06,7.07,2347.76,2.45,,5.71,,5.89,7.67,0.583,0,mid,mid
0,Pre,NA,2,9-Feb,A,,1,20230103,0.1,36.1,1142.74,14.92,2.15,18.04,3.5,18.05,3.46,11.816,0.03,mid,mid
0,Pre,NA,2,13-Feb,A,,1,20230103,0.1,37.77,1197.24,15.69,2.14,18.88,3.6,18.89,3.54,12.555,0.04,mid,mid
0,Pre,NA,2,14-Feb,A,,1,20230103,0.1,36.34,1114.94,15.24,2,18.17,3.3,18.17,3.33,12.639,0.03,mid,mid
0,Pre,NA,3,13-Mar,A,,1,20230103,0.04,20.96,692.96,17.81,4.59,26.2,31,26.21,30.98,10.605,0.24,mid,mid
0,Pre,NA,3,14-Mar,A,,1,20230103,0.04,17.78,1077.44,14.81,2.71,22.22,14.7,22.22,14.71,4.845,0.1,mid,mid
0,Pre,NA,3,15-Mar,A,,1,20230103,0.04,21.75,990.86,17.54,2.63,27.18,24.5,27.19,24.48,7.227,0.21,mid,mid
0,Pre,NA,4,15-Apr,A,,1,20230103,0.06,83.95,2389.97,37.15,2.03,60.64,16.9,69.96,16.87,20.317,0.53,grip,grip
0,Pre,NA,4,16-Apr,A,,1,20230103,0.06,70.89,2003.38,34.07,2.29,48.53,13.7,59.07,13.72,20.098,0.36,grip,grip
0,Pre,NA,4,17-Apr,A,,1,20230103,0.06,71.6,2013.87,30.54,2.01,59.66,16.1,59.67,16.11,16.255,0.42,mid,mid
0,Pre,NA,5,16-May,A,,1,20230103,0.06,29.36,92.13,24.39,33.92,24.45,33.9,24.46,33.89,235.024,0.23,grip,grip
0,Pre,NA,5,17-May,A,,1,20230103,0.12,31.7,49.65,NA,NA,13.21,33.5,13.21,33.47,NA,0.25,grip,grip
0,Pre,NA,5,17-May,B,,,20230103,0.12,34.76,51.87,14.38,36.73,14.48,36.7,14.48,36.71,294.244,0.29,mid,mid
