"Plot Title: 21235295"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21235295, SEN S/N: 21235295)","Coupler Detached (LGR S/N: 21235295)","Coupler Attached (LGR S/N: 21235295)","Host Connected (LGR S/N: 21235295)","End Of File (LGR S/N: 21235295)"
1,03/17/22 03:28:21 PM,22.848,,,,
2,03/17/22 03:28:36 PM,,Logged,,,
3,03/17/22 03:58:21 PM,21.795,,,,
4,03/17/22 04:28:21 PM,21.270,,,,
5,03/17/22 04:58:21 PM,21.199,,,,
6,03/17/22 05:28:21 PM,21.151,,,,
7,03/17/22 05:58:21 PM,21.056,,,,
8,03/17/22 06:28:21 PM,20.889,,,,
9,03/17/22 06:58:21 PM,20.984,,,,
10,03/17/22 07:28:21 PM,21.056,,,,
11,03/17/22 07:58:21 PM,20.936,,,,
12,03/17/22 08:28:21 PM,20.984,,,,
13,03/17/22 08:58:21 PM,20.984,,,,
14,03/17/22 09:28:21 PM,21.008,,,,
15,03/17/22 09:58:21 PM,21.008,,,,
16,03/17/22 10:28:21 PM,20.984,,,,
17,03/17/22 10:58:21 PM,20.913,,,,
18,03/17/22 11:28:21 PM,20.889,,,,
19,03/17/22 11:58:21 PM,20.889,,,,
20,03/18/22 12:28:21 AM,20.913,,,,
21,03/18/22 12:58:21 AM,20.865,,,,
22,03/18/22 01:28:21 AM,20.793,,,,
23,03/18/22 01:58:21 AM,20.770,,,,
24,03/18/22 02:28:21 AM,20.817,,,,
25,03/18/22 02:58:21 AM,20.841,,,,
26,03/18/22 03:28:21 AM,20.770,,,,
27,03/18/22 03:58:21 AM,20.722,,,,
28,03/18/22 04:28:21 AM,20.722,,,,
29,03/18/22 04:58:21 AM,20.770,,,,
30,03/18/22 05:28:21 AM,20.770,,,,
31,03/18/22 05:58:21 AM,20.722,,,,
32,03/18/22 06:28:21 AM,20.674,,,,
33,03/18/22 06:58:21 AM,20.650,,,,
34,03/18/22 07:28:21 AM,20.698,,,,
35,03/18/22 07:58:21 AM,20.674,,,,
36,03/18/22 08:28:21 AM,20.627,,,,
37,03/18/22 08:58:21 AM,20.650,,,,
38,03/18/22 09:28:21 AM,20.722,,,,
39,03/18/22 09:58:21 AM,20.770,,,,
40,03/18/22 10:28:21 AM,20.936,,,,
41,03/18/22 10:58:21 AM,20.865,,,,
42,03/18/22 11:28:21 AM,20.913,,,,
43,03/18/22 11:58:21 AM,20.960,,,,
44,03/18/22 12:28:21 PM,21.032,,,,
45,03/18/22 12:58:21 PM,20.865,,,,
46,03/18/22 01:28:21 PM,20.936,,,,
47,03/18/22 01:58:21 PM,21.008,,,,
48,03/18/22 02:28:21 PM,20.936,,,,
49,03/18/22 02:58:21 PM,20.674,,,,
50,03/18/22 03:28:21 PM,20.698,,,,
51,03/18/22 03:58:21 PM,20.674,,,,
52,03/18/22 04:28:21 PM,20.603,,,,
53,03/18/22 04:58:21 PM,20.817,,,,
54,03/18/22 05:28:21 PM,20.865,,,,
55,03/18/22 05:58:21 PM,20.770,,,,
56,03/18/22 06:28:21 PM,20.746,,,,
57,03/18/22 06:58:21 PM,20.674,,,,
58,03/18/22 07:28:21 PM,20.650,,,,
59,03/18/22 07:58:21 PM,20.603,,,,
60,03/18/22 08:28:21 PM,20.650,,,,
61,03/18/22 08:58:21 PM,20.650,,,,
62,03/18/22 09:28:21 PM,20.627,,,,
63,03/18/22 09:58:21 PM,20.603,,,,
64,03/18/22 10:28:21 PM,20.627,,,,
65,03/18/22 10:58:21 PM,20.650,,,,
66,03/18/22 11:28:21 PM,20.627,,,,
67,03/18/22 11:58:21 PM,20.603,,,,
68,03/19/22 12:28:21 AM,20.579,,,,
