Bag ID,Depth,Section,Sample ID,Replicate,Time Retrieved,Present?,Thickness (mm),Size for weight (cm^2),Weight (g),Resistance 100Hz (M ohm),Resistance 120Hz (M ohm),Resistance 1k Hz (M ohm),Resistance 10k Hz (M ohm),Resistance 100k Hz (M ohm),Pre.Post
NA,NA,NA,A,1,0,yes,0.1,60,0.587,0,0,21.3,1.4,0.14,Pre
NA,NA,NA,A,2,0,yes,0.1,84,0.788,0,0,21.5,1.58,0.15,Pre
NA,NA,NA,A,3,0,yes,0.1,80,0.794,0,0,20.1,1.7,0.17,Pre
NA,NA,NA,A,1,0,yes,0.1,60,0.583,0,0,21.3,1.18,0.12,Post
NA,NA,NA,A,2,0,yes,0.1,84,0.794,0,0,21.3,1.17,0.11,Post
NA,NA,NA,A,3,0,yes,0.1,80,0.797,0,0,20.6,1.11,0.11,Post
NA,NA,NA,B,6,0,yes,0.02,80,0.421,0,0,12.8,0.9,0.09,Pre
NA,NA,NA,B,7,0,yes,0.02,80,0.423,0,0,9.3,0.95,0.09,Pre
NA,NA,NA,B,8,0,yes,0.02,80,0.423,0,0,9.7,0.65,0.06,Pre
NA,NA,NA,B,6,0,yes,0.02,80,0.422,0,0,13.8,0.75,0.08,Post
NA,NA,NA,B,7,0,yes,0.02,80,0.418,0,0,15.4,0.85,0.09,Post
NA,NA,NA,B,8,0,yes,0.02,80,0.423,0,0,16.1,0.83,0.09,Post
NA,NA,NA,C,13,0,yes,0.06,80,0.113,0,0,33.6,2.8,0.2,Pre
NA,NA,NA,C,14,0,yes,0.06,80,0.118,0,0,10.3,0.85,0.09,Pre
NA,NA,NA,C,15,0,yes,0.06,80,0.118,0,0,18.3,1.3,0.13,Pre
NA,NA,NA,C,13,0,yes,0.06,80,0.113,0,0,34.4,1.86,0.18,Post
NA,NA,NA,C,14,0,yes,0.06,80,0.118,0,0,36.8,1.77,0.17,Post
NA,NA,NA,C,15,0,yes,0.06,80,0.117,0,0,34.4,1.9,0.17,Post
NA,NA,NA,D,7,0,yes,0.08,80,0.492,0,0,19.4,1.7,0.15,Pre
NA,NA,NA,D,8,0,yes,0.08,80,0.518,0,0,17.1,1.36,0.16,Pre
NA,NA,NA,D,9,0,yes,0.08,80,0.484,0,0,23.6,2.28,0.16,Pre
NA,NA,NA,D,7,0,yes,0.08,80,0.492,0,0,27.2,1.4,0.12,Post
NA,NA,NA,D,8,0,yes,0.08,80,0.52,0,0,24.5,1.72,0.16,Post
NA,NA,NA,D,9,0,yes,0.08,80,0.486,0,0,45.7,2.26,0.19,Post
NA,NA,NA,N,9,0,yes,0.1,80,0.76,0,0,19.2,1.9,0.2,Pre
NA,NA,NA,N,10,0,yes,0.1,80,0.716,0,0,28,1.87,0.18,Pre
NA,NA,NA,N,11,0,yes,0.1,80,0.787,0,0,23.4,2.08,0.18,Pre
NA,NA,NA,N,9,0,yes,0.1,80,0.76,0,0,40.4,1.98,0.19,Post
NA,NA,NA,N,10,0,yes,0.1,80,0.714,0,0,31,1.72,0.17,Post
NA,NA,NA,N,11,0,yes,0.1,80,0.785,0,0,35.5,1.61,0.17,Post
NA,NA,NA,P,1,0,yes,0.1,80,0.477,0,0,20.6,1.15,0.08,Pre
NA,NA,NA,P,2,0,yes,0.1,80,0.473,0,0,23.4,1.4,0.08,Pre
NA,NA,NA,P,3,0,yes,0.1,80,0.491,0,0,15.1,1.5,0.2,Pre
NA,NA,NA,P,1,0,yes,0.1,80,NA,NA,NA,NA,NA,NA,Post
NA,NA,NA,P,2,0,yes,0.1,80,NA,NA,NA,NA,NA,NA,Post
NA,NA,NA,P,3,0,yes,0.1,80,NA,NA,NA,NA,NA,NA,Post
4,0,Q3,A,10,4,yes,,60,0.582,0,0,26,1.31,0.164,Pre
18,0,Q2,A,13,4,yes,,60,0.643,0,0,28,1.42,0.142,Pre
12,0,Q1,A,14,4,yes,,60,0.654,0,0,43.3,2.35,0.21,Pre
4,0,Q3,A,10,4,yes,,60,0.588,0,0,30.9,2.2,0.208,Post
18,0,Q2,A,13,4,yes,,60,0.642,0,0,41.4,4.27,0.423,Post
12,0,Q1,A,14,4,yes,,60,0.643,0,0,42.6,2.45,0.231,Post
18,0,Q4,B,12,4,yes,,50,0.106,0,0,61.8,2.85,0.25,Pre
4,0,Q1,B,13,4,yes,,60,0.112,0,0,54.1,2.93,0.19,Pre
21,0,Q1,B,15,4,yes,,75,0.122,0,0,60.4,2.79,0.265,Pre
18,0,Q4,B,12,4,yes,,50,0.091,0,0,51.1,2.57,0.218,Post
4,0,Q1,B,13,4,yes,,60,0.106,0,0,54.6,3.05,0.255,Post
21,0,Q1,B,15,4,yes,,75,0.116,0,0,30,2.53,0.22,Post
9,0,Q2,C,8,4,yes,,60,0.379,0,0,31.9,1.38,0.134,Pre
4,0,Q2,C,11,4,yes,,60,0.354,0,0,29.8,1.29,0.1,Pre
2,0,Q1,C,12,4,yes,,60,0.33,0,0,30.4,1.31,0.132,Pre
9,0,Q2,C,8,4,yes,,60,0.362,0,0,24.1,0.925,0.09971,Post
4,0,Q2,C,11,4,yes,,60,0.338,0,0,30,1.56,0.176,Post
2,0,Q1,C,12,4,yes,,60,0.333,0,0,42.2,1.76,0.179,Post
21,0,Q4,D,1,4,yes,,60,0.395,0,0,35.6,1.65,0.165,Pre
7,0,Q1,D,2,4,yes,,60,0.404,0,0,52.8,2.66,0.22,Pre
15,0,Q2,D,3,4,yes,,60,0.404,0,0,53.5,2.89,0.28,Pre
21,0,Q4,D,1,4,yes,,60,0.393,0,0,22.7,1.22,0.132,Post
7,0,Q1,D,2,4,yes,,60,0.397,0,0,39.8,2.23,0.155,Post
15,0,Q2,D,3,4,yes,,60,0.389,0,0,38.7,2.45,0.245,Post
2,0,Q4,N,2,4,yes,,60,0.606,0,0,48.4,2.33,0.23,Pre
20,0,Q2,N,17,4,yes,,60,0.584,0,0,53.7,2.57,0.258,Pre
2,0,Q4,N,2,4,yes,,60,0.604,0,0,48.4,2.73,0.255,Post
20,0,Q2,N,17,4,yes,,60,0.579,0,0,53.3,2.05,0.234,Post
7,0,Q2,P,15,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
15,0,Q4,P,16,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Pre
7,0,Q2,P,15,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
15,0,Q4,P,16,4,gone,NA,NA,NA,NA,NA,NA,NA,NA,Post
13,10,Q3,A,11,4,yes,,60,0.61,0,0,21.5,1.17,0.125,Pre
17,10,Q4,A,12,4,yes,,60,0.535,0,0,23.8,1.32,0.138,Pre
3,10,Q2,A,13,4,yes,,60,0.573,0,0,25.4,1.36,0.113,Pre
13,10,Q3,A,11,4,yes,,60,0.609,0,0,26.2,1.87,0.183,Post
17,10,Q4,A,12,4,yes,,60,0.532,0,0,33.4,2.98,0.34,Post
3,10,Q2,A,13,4,yes,,60,0.576,0,0,21.8,1.8,0.47,Post
5,10,Q3,B,10,4,yes,,60,0.083,0,0,33.7,1.8,0.152,Pre
10,10,Q4,B,11,4,yes,,60,0.131,0,0,29.1,1.54,0.147,Pre
1,10,Q1,B,14,4,yes,,60,0.086,0,0,40.5,2.08,0.168,Pre
5,10,Q3,B,10,4,yes,,60,0.083,0,0,29.7,2.24,0.144,Post
10,10,Q4,B,11,4,yes,,60,0.101,0,0,39.6,2.32,0.197,Post
1,10,Q1,B,14,4,yes,,60,0.088,0,0,51.5,2.78,0.443,Post
3,10,Q3,C,7,4,yes,,60,0.334,0,0,24.4,1.48,0.111,Pre
11,10,Q4,C,9,4,yes,,60,0.306,0,0,21.4,0.9,0.076,Pre
