"Time","Pre.Post","Depth","Weight","Yield.Elongation","Yield.Stress","Resistance.1k"
"4","Pre","0",0.8,0.8,1.1,1.2
"4","Pre","0",0.9,0.8,1.2,1.3
"4","Pre","0",0.9,1.5,1.4,2.1
"4","Pre","10",0.8,4.3,1.2,1
"4","Pre","10",0.7,3.4,1.2,1.1
"4","Pre","10",0.8,2.1,1.2,1.2
"4","Post","0",0.8,0.8,1.5,1.5
"4","Post","0",0.9,1,1.6,2
"4","Post","0",0.9,1.5,1.7,2
"4","Post","10",0.8,2.8,1.3,1.2
"4","Post","10",0.7,3.8,1.2,1.6
"4","Post","10",0.8,2.7,1.2,1
"8","Pre","0",0.8,3.4,1.1,1.1
"8","Pre","0",0.9,3.1,1.4,1.3
"8","Pre","0",0.8,3.9,1.4,1.1
"8","Pre","10",0.9,3.3,1,0.8
"8","Pre","10",0.8,2.5,1.1,0.9
"8","Pre","10",0.8,2.6,1.3,0.7
"8","Post","0",0.8,4.3,1.1,1
"8","Post","0",0.9,2.4,1.4,0.9
"8","Post","0",0.8,4.9,1.2,1
"8","Post","10",0.9,2.3,1.2,0.7
"8","Post","10",0.8,4,1.2,0.8
"8","Post","10",0.8,NA,NA,0.7
