"Time","Pre.Post","Depth","Weight","Yield.Elongation","Yield.Stress","Resistance.1k"
"4","Pre","0",0.3,3.5,2.4,5.8
"4","Pre","0",0.3,1.9,2.4,5.1
"4","Pre","0",0.3,2.4,2,5.7
"4","Pre","10",0.2,3.1,1.8,3.2
"4","Pre","10",0.3,4.3,2,2.7
"4","Pre","10",0.2,3.2,2.4,3.8
"4","Post","0",0.2,1.2,2.6,4.8
"4","Post","0",0.3,1.2,2.5,5.2
"4","Post","0",0.3,1.1,1.9,2.8
"4","Post","0",NA,1.4,2.2,NA
"4","Post","10",0.2,3.1,1.9,2.8
"4","Post","10",0.2,2.6,2.1,3.7
"4","Post","10",0.2,2.8,2.2,4.9
"8","Pre","0",0.2,6,1.9,2.6
"8","Pre","0",0.2,4.5,2.3,2.4
"8","Pre","0",0.2,3.6,2,2.1
"8","Pre","10",0.2,6.2,2.6,1.8
"8","Pre","10",0.2,NA,NA,1.7
"8","Pre","10",NA,NA,NA,NA
"8","Post","0",0.2,4.1,1.9,1.7
"8","Post","0",0.2,4.1,2.2,1.5
"8","Post","0",0.2,4.5,2,1.7
"8","Post","10",0.2,5.7,1.8,1.7
"8","Post","10",0.2,7,2.5,1.4
"8","Post","10",NA,NA,NA,NA
