"Time","Pre.Post","Depth","Weight","Yield.Elongation","Yield.Stress","Resistance.1k"
"4","Pre","0",3.3,0.6,1,1.5
"4","Pre","0",3.1,0.5,1,1.4
"4","Pre","0",2.8,0.7,1.1,1.5
"4","Pre","10",2.9,1.2,1,1.2
"4","Pre","10",2.6,1.2,0.8,1
"4","Pre","10",2.7,1.4,0.9,1
"4","Post","0",3.1,0.5,1,1.2
"4","Post","0",2.9,0.5,1.1,1.4
"4","Post","0",2.9,0.4,1.1,2
"4","Post","10",2.8,1.2,0.9,0.8
"4","Post","10",2.6,1.7,0.8,0.8
"4","Post","10",2.7,1.2,0.9,1.2
"8","Pre","0",3,1.3,1,1
"8","Pre","0",3.7,2.1,0.9,1
"8","Pre","0",2.8,1.5,0.8,1
"8","Pre","10",2.9,1.7,0.8,0.7
"8","Pre","10",3.3,1.6,0.8,0.6
"8","Pre","10",2.7,1.7,0.8,0.7
"8","Post","0",3,1.5,1.1,0.7
"8","Post","0",3.6,1.6,0.9,0.7
"8","Post","0",2.9,1.8,1,0.7
"8","Post","10",2.9,3.5,0.9,0.8
"8","Post","10",3.3,2,0.9,0.7
"8","Post","10",2.8,NA,NA,0.6
