"Time","Pre.Post","Depth","Weight","Yield.Elongation","Yield.Stress","Resistance.1k"
"4","Pre","0",0.8,0.9,1.3,1.8
"4","Pre","0",0.8,1.7,1.4,2.6
"4","Pre","0",0.8,0.8,1.2,2.7
"4","Pre","0",NA,1.5,1.6,NA
"4","Pre","10",0.8,2.2,1.3,1.4
"4","Pre","10",0.8,2.8,1.3,1.7
"4","Pre","10",0.7,2.6,1.3,1.6
"4","Post","0",0.8,0.5,1.2,1.1
"4","Post","0",0.8,0.6,1.3,2
"4","Post","0",0.8,0.6,1.2,1.9
"4","Post","10",0.8,3.2,1.5,1.4
"4","Post","10",0.8,2.1,1.4,1.5
"4","Post","10",0.7,3.4,1.4,1.7
"8","Pre","0",0.8,2.9,1.4,1.2
"8","Pre","0",0.8,2.4,1.5,1.4
"8","Pre","0",0.8,3.1,1.6,1.5
"8","Pre","10",0.8,2.5,1.4,1
"8","Pre","10",0.8,2.2,1.5,0.8
"8","Pre","10",0.7,2.3,1.5,1
"8","Post","0",0.8,1.9,1.5,0.9
"8","Post","0",0.8,3,1.6,0.8
"8","Post","0",0.8,1.9,1.5,0.9
"8","Post","10",0.8,4.1,1.4,0.8
"8","Post","10",0.8,2.9,1.6,0.9
"8","Post","10",0.7,5.2,1.4,0.8
