"Time","Pre.Post","Depth","Weight","Yield.Elongation","Yield.Stress","Resistance.1k"
"4","Pre","0",0.8,1.9,1.6,2.1
"4","Pre","0",0.8,1.5,1.4,2.3
"4","Pre","0",NA,1.8,1.3,NA
"4","Pre","10",0.8,1.6,1.4,1.5
"4","Pre","10",0.7,1.5,1.1,1.1
"4","Pre","10",0.8,1.1,1,1.1
"4","Post","0",0.8,1,1.4,2.1
"4","Post","0",0.8,0.8,1.3,2.3
"4","Post","0",NA,NA,NA,NA
"4","Post","10",0.8,1.4,1.1,1
"4","Post","10",0.7,1.3,1.2,0.9
"4","Post","10",0.7,1.1,1,0.9
"8","Pre","0",0.8,2.6,1.7,1
"8","Pre","0",0.8,1.7,1.3,1.1
"8","Pre","0",0.8,1.2,1,1.2
"8","Pre","10",0.8,2.4,1.2,0.8
"8","Pre","10",0.7,1.3,1.1,0.9
"8","Pre","10",0.7,1.4,1.1,0.9
"8","Post","0",0.8,3.1,1.6,0.7
"8","Post","0",0.8,1.5,1.1,0.6
"8","Post","0",0.8,2.5,1.3,0.8
"8","Post","10",0.8,3.2,1.5,0.6
"8","Post","10",0.7,2.4,1.4,0.5
"8","Post","10",0.7,1.4,1.1,0.6
